website,interview_difficulty,ceo_name,nb_c_jobs,company_description,registered_employer,benefits_below,similar_companies,acquired_by,founded,affiliated_company,nb_ratings_ceo,stars,nb_c_reviews_detailled,size,nb_c_interviews,friend_recommend,url,benefits_above,employer_id,revenue,headquarters,competitors,company_name,nb_c_salaries,awards,ceo_rating,type,industry,operated_by,headquarters_city,headquarters_state,nb_awards_after_2000,has_website,ticker
www.energyrecovery.com,,Thomas S. Rooney Jr.,,"Energy Recovery technology harvests the power of pressure from high pressure fluid flows and pressure cycles. Through collaboration with industry, Energy Recovery is committed to innovation to make industrial processes within water, oil & gas, and chemical industries more profitable and environmentally cleaner. With over 14,000 energy recovery devices installed worldwide, Energy Recovery sets the standard for engineering excellence, cost savings, and technical services to clients across the globe. Year after year, the company’s clean technologies continue to save clients over $1.2 Billion (USD) in energy costs. Headquartered in the San Francisco Bay Area, Energy Recovery has offices in Madrid, Shanghai, and Dubai.",Unclaimed Profile,,"Westport Innovations,Apple,John Deere,Stratasys,Michigan Talent Bank,Pentair,International Paper",,1992.0,,2,2.1,4,50 to 149 Employees,,29.0,"http://www.glassdoor.com/Overview/Working-at-Energy-Recovery-EI_IE100295.11,26.htm",,100295,$25 to $50 million (USD) per year,"San Leandro, CA",Unknown,Energy Recovery,10.0,"America's 200 Best Small Companies,Forbes,2009",,Company - Public with Ticker,Manufacturing,,San Leandro,CA,1.0,1,ERII
www.effectivesigncompany.com,1.0,,,,Unclaimed Profile,,"ExOne,Renewal By Andersen,Toro Company,Hach Company,Trident Group,Panasonic Automotive Systems Company,Graphic Products,Apogee Enterprises,GTM Sportswear",,,,0,5.0,1,6 to 15 Employees,1.0,100.0,"http://www.glassdoor.com/Overview/Working-at-Effective-Sign-Company-EI_IE744468.11,33.htm",,744468,Unknown / Non-Applicable per year,"Auburn, AL",Unknown,Effective Sign Company,1.0,,,Company - Public,Manufacturing,,Auburn,AL,0.0,1,
www.cmtlinc.com,,Tony Broncati,,,Unclaimed Profile,,"Gensler,Stantec,Core Laboratories,Tetra Tech,Belcan Corporation,ARCADIS US,Burns & McDonnell,Arup,HDR",,,,0,5.0,1,6 to 15 Employees,,100.0,"http://www.glassdoor.com/Overview/Working-at-Connecticut-Materials-Testing-Lab-EI_IE772478.11,44.htm",,772478,Unknown / Non-Applicable per year,"South Norwalk, CT",Unknown,Connecticut Materials Testing Lab,,,,Company - Private,Business Services,,South Norwalk,CT,0.0,1,
www.yewchoon.com.sg,1.5,,,,Unclaimed Profile,,"Roehl Transport,JetBlue,Amtrak,Total Quality Logistics,CSX,Schneider,Alaska Airlines,C.H. Robinson Worldwide,Ryder System",,,,0,3.4,3,16 to 50 Employees,2.0,46.0,"http://www.glassdoor.com/Overview/Working-at-Yew-Choon-EI_IE575046.11,20.htm",,575046,Unknown / Non-Applicable per year,"Singapore, Singapore",Unknown,Yew Choon,1.0,,,Company - Private,Transportation & Logistics,,Singapore,Singapore,0.0,1,
www.se.pg.com,,Luisa D. Delgado,,"The prognosis for Procter & Gamble Sverige: lots of consumer goods for Scandinavian customers. P&G Sverige carries out the Scandinavian operations of global consumer products giant Procter & Gamble, which opened its first office in the region (in Sweden) in 1969. P&G Sverige brings many of the parent company's top brands to consumers in Denmark, Finland, Norway, and Sweden. Well-known offerings include Olay cosmetics, Pampers diapers, Pringles potato chips, Vicks throat products, Tampax tampons, Pantene and Wella shampoos, and laundry and kitchen cleaning products such as Ajax, Dynamo, and Febreze.",Unclaimed Profile,,"Procter & Gamble,P&G Western Europe,Procter & Gamble Technical Centers,Procter & Gamble Emergency Response Team,McKinsey & Company,Procter & Gamble,Polo Ralph Lauren,Under Armour,Nestlé Purina PetCare,GoPro,Hollister Co.,Estée Lauder Companies",,,,0,3.0,1,150 to 499 Employees,,,"http://www.glassdoor.com/Overview/Working-at-Procter-and-Gamble-Nordic-EI_IE39268.11,36.htm",,39268,$100 to $500 million (USD) per year,"Stockholm, Sweden","Johnson & Johnson,Kimberly-Clark,Unilever",Procter & Gamble Nordic,6.0,,,Subsidiary or Business Segment,Manufacturing,,Stockholm,Sweden,0.0,1,
www.lf.cc.va.us,,,,,Unclaimed Profile,,"Shenandoah University,Navy Federal Credit Union,Life Time Fitness,Stanford University,Harvard University,NYU (New York University),Columbia University,ITT Technical Institute,University of Washington,Western Governors University,University of Southern California,University of North Carolina",,,,0,3.7,6,Unknown,,77.0,"http://www.glassdoor.com/Overview/Working-at-Lord-Fairfax-Community-College-EI_IE128541.11,41.htm",,128541,Unknown / Non-Applicable per year,"Middletown, VA",Unknown,Lord Fairfax Community College,5.0,,,College / University,Education,,Middletown,VA,0.0,1,
www.classychassis.com,,Corwyn Campbell,,,Unclaimed Profile,,"LA Fitness,Great Clips,European Wax Center,Hand and Stone Spa,Angie's List",,,,0,5.0,1,16 to 50 Employees,,100.0,"http://www.glassdoor.com/Overview/Working-at-Classy-Chassis-EI_IE663931.11,25.htm",,663931,$1 to $5 million (USD) per year,"Lakewood, WA",Unknown,Classy Chassis,1.0,,,Company - Private,Consumer Services,,Lakewood,WA,0.0,1,
www.michigansugar.com,,Mark S. Flegenheimer,,"Michigan Sugar is the largest beet-sugar processor east of the Mississippi. The agricultural cooperative is owned by some 1,250 beet-sugar farmers who purchased the company from Imperial Sugar in 2002. Michigan Sugar manufactures both private-label and branded consumer, foodservice, and industrial products. Its sugars include granulated, confectioner's and brown sugar, along with molasses and liquid sucrose. It also manufactures sugar by-products such as beet pulp, which is used for animal feed and fertilizer. Michigan Sugar's flagship brand is Pioneer Sugar, but the company also sells to institutions under the name Big Chief Sugar.",Unclaimed Profile,,"Sugar Factory,Anheuser-Busch,Keurig Green Mountain,ConAgra Foods,The Hershey Company,Dr Pepper Snapple Group",,2002.0,,3,3.3,5,150 to 499 Employees,,74.0,"http://www.glassdoor.com/Overview/Working-at-Michigan-Sugar-Company-EI_IE26486.11,33.htm",,26486,$25 to $50 million (USD) per year,"Bay City, MI","United Sugars,Western Sugar Cooperative,Smbsc",Michigan Sugar Company,2.0,,68.0,Company - Private,Manufacturing,,Bay City,MI,0.0,1,
www.qpgrafix.com,,,,,Unclaimed Profile,,"ARC Document Solutions,Harland Clarke,Cenveo,FastSigns,Consolidated Graphics,ABC Imaging,PFG Ventures,ComDoc,WorkflowOne,Moo Print Limited,Sign-a-Rama",,2001.0,,0,5.0,1,1 to 5 Employees,,,"http://www.glassdoor.com/Overview/Working-at-QPGrafix-EI_IE851801.11,19.htm",,851801,Unknown / Non-Applicable per year,"Charlotte, NC",Unknown,QPGrafix,,,,Company - Private,Business Services,,Charlotte,NC,0.0,1,
www.personalcapital.com,2.7,Bill Harris,,"Personal Capital is the next generation financial advisor. Designed around and customized for individuals, Personal Capital is on the leading edge of a rapidly changing financial services industry. We offer financial advisory services previously only available to multi-millionaires, and our unique money management experience gives users a holistic picture of their finances with the help of free software and mobile applications. This combination of high-tech and high-touch drives our mission: to deliver truly personal and objective wealth management for the Internet and mobile age. Our management team is comprised of leading financial technology and e-finance executives, namely former Intuit and PayPal CEO, Bill Harris.For more information on Personal Capital visit www.personalcapital.com",Engaged Employer,,"MyVest,Wealthfront,LearnVest,Fisher Investments,Charles Schwab,TIAA-CREF,Fidelity Investments,Google,Financial Engines,Betterment,Motif Investing,OppenheimerFunds",,2009.0,,4,4.3,9,150 to 499 Employees,5.0,77.0,"http://www.glassdoor.com/Overview/Working-at-Personal-Capital-EI_IE695964.11,27.htm",,695964,Unknown / Non-Applicable,"Redwood City, CA",Unknown,Personal Capital,2.0,,100.0,Company - Private,Finance,,Redwood City,CA,0.0,1,
