SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
0,0.047814426,65,0,1140.0,,10,0,1,0,0.0
0,0.004817116,56,0,0.155743168,4500.0,11,0,0,0,0.0
0,0.899815043,35,1,0.143671242,12458.0,12,0,2,0,0.0
0,0.075495391,64,1,0.500595096,4200.0,16,0,1,0,0.0
0,0.272780419,54,0,0.954579116,4050.0,15,0,2,0,0.0
0,0.324591885,41,0,389.0,,1,0,0,0,0.0
0,0.263186212,63,0,2633.0,,11,0,1,0,0.0
1,0.745925407,60,0,0.176672384,5246.0,9,2,1,0,0.0
0,0.191007151,48,3,0.619688521,5200.0,8,0,1,0,1.0
0,0.019380102,52,1,0.280327671,8300.0,12,0,1,0,0.0
0,0.066895981,48,0,3258.0,,8,0,1,0,0.0
0,0.943171068,46,0,0.626421697,8000.0,11,0,2,0,3.0
0,0.020469899,39,0,0.426833809,8056.0,12,0,2,0,0.0
0,0.195260893,51,0,2.331880528,7800.0,10,0,8,0,0.0
1,0.943352216,37,2,0.029035462,17116.0,4,0,0,0,2.0
1,0.993469684,51,11,0.534183397,3685.0,17,1,0,1,0.0
0,0.390176089,33,0,0.351740139,4309.0,5,0,0,0,0.0
0,0.19813058,40,0,0.126887311,10000.0,5,0,0,0,1.0
0,0.0,47,0,919.0,,11,0,2,0,0.0
0,0.828668485,57,0,3173.0,,8,0,1,0,0.0
0,0.028549286,74,0,0.097991968,2489.0,4,0,0,0,1.0
0,0.0,33,0,0.152096903,8750.0,5,0,1,0,2.0
0,0.427487759,32,0,0.38531848,3500.0,3,0,2,0,0.0
0,0.026402737,90,0,26.0,,2,0,0,0,0.0
0,0.0,61,0,0.51291308,3600.0,8,0,1,0,1.0
0,0.169354119,45,0,0.338995302,8300.0,8,0,1,0,2.0
0,0.014199527,61,0,0.302952676,7416.0,7,0,3,0,1.0
0,0.635601501,72,0,0.801646351,6316.0,10,0,2,0,0.0
0,0.178569678,42,0,0.265636718,6666.0,7,0,1,0,3.0
0,0.039272013,67,0,1406.0,,5,0,1,0,0.0
0,0.183520416,33,0,0.04411298,3150.0,8,0,0,0,0.0
0,0.0,50,0,0.0,,4,0,0,0,0.0
0,0.391152212,42,0,0.556295803,1500.0,5,0,1,0,1.0
0,0.005092887,65,0,1777.0,,22,0,2,0,0.0
0,0.03984696,68,0,0.008306414,6500.0,6,0,0,0,0.0
0,0.089453024,55,0,0.234568896,12409.0,11,0,2,0,0.0
0,0.026877561,65,0,1487.0,,7,0,2,0,0.0
0,0.000826378,37,0,0.270135276,4804.0,6,0,1,0,2.0
0,0.723793677,22,0,0.006496752,2000.0,1,0,0,0,0.0
0,0.190976128,96,0,0.029980013,1500.0,1,0,0,0,0.0
0,0.044176178,68,0,43.0,,4,0,0,0,
1,0.9999999,32,1,0.858190302,6000.0,6,0,2,0,3.0
0,0.108196169,56,0,0.252963862,7000.0,10,0,1,0,0.0
0,0.095663198,51,0,0.273768406,5500.0,8,0,2,0,0.0
0,1.016319869,42,0,0.157800785,2800.0,2,0,0,0,0.0
0,0.1844727,56,0,0.376834382,1907.0,11,0,0,0,4.0
0,0.017246701,65,0,0.020804245,7161.0,7,0,0,0,0.0
1,0.748427843,53,0,0.561371289,9800.0,13,1,3,0,0.0
0,0.359988158,39,1,0.910294746,2340.0,8,0,1,0,0.0
0,0.085459622,60,0,0.245808495,10735.0,9,0,2,0,1.0
0,0.079996445,49,0,1674.0,,7,0,2,0,0.0
0,0.867713229,36,0,0.313719943,3534.0,7,0,0,0,0.0
0,0.430137233,36,0,3235.0,,16,0,3,0,
0,0.205773208,38,0,0.194296897,3576.0,7,0,0,0,3.0
0,0.162584647,50,1,3327.0,,6,0,1,0,0.0
0,0.9999999,60,0,0.514175877,2080.0,6,0,1,0,0.0
0,0.124867196,70,0,0.009831695,6000.0,2,0,0,0,0.0
